Chr	Mid	DCHpM
1	405.5	0.0806
1	416.5	0.0516
1	418	0.0628
1	419	0.1212
1	420	0.2378
1	420.5	0.103
1	421	0.08
1	422	0.0806
1	423	0.3024
1	424	0.0628
1	425.5	0.0584
1	457.5	0.0584
1	470.5	0.3156
1	471	0.3044
1	471.5	0.0516
1	475.5	0.1546
1	1722	0.0516
1	2420	0.0584
1	2424.5	0.0584
1	2430	0.0584
1	2431	0.1168
1	2431.5	0.1428
1	2432	0.1384
1	2437.5	0.0516
1	2438	0.1384
1	2438.5	0.1142
1	2439	0.2122
1	2440	0.0584
1	2452.5	0.0516
1	2454.5	0.2824
1	2455	0.3212
1	2455.5	0.27
1	2456	0.08
1	2457	0.0628
1	2457.5	0.7664
1	2458	0.4094
1	2459	0.0628
1	2459.5	0.0516
1	2460.5	0.103
1	2461.5	0.08
1	2462	0.2012
1	2463	0.2868
1	2463.5	0.4298
1	2464.5	0.0516
1	2468.5	0.1384
1	2469	0.0516
1	2469.5	0.11
1	2724	0.0516
1	5612.5	0.0516
1	5686	0.0806
1	6389.5	0.0628
1	6403.5	0.08
1	6404.5	0.0806
1	6405	0.0628
1	6406	0.132
1	6407	0.1256
1	6408	0.2984
1	6408.5	0.1658
1	6409	0.2688
1	6410.5	0.0516
1	6411.5	0.0628
1	6412	0.1384
1	6414.5	0.08
1	6417.5	0.0584
1	6418.5	0.0584
1	6419	0.0584
1	6419.5	0.0584
1	6423	0.1142
1	6424	0.0516
1	6424.5	0.2354
1	6425.5	0.08
1	6426.5	0.0584
1	6431	0.0516
1	6435.5	0.3722
1	6442	0.0516
1	6443	0.08
1	6458.5	0.0584
1	6459	0.0584
1	6459.5	0.0806
1	6462.5	0.0516
1	6468	0.0516
1	6470	0.0628
1	6471	0.0584
1	6473	0.0516
1	6474	0.0584
1	6475	0.0628
1	6475.5	0.0516
1	6479	0.0516
1	6479.5	0.3538
1	6480	0.1212
1	6481.5	0.298
1	6482	0.1432
1	6483	0.0628
1	6483.5	0.2978
1	6484.5	0.183
1	6489.5	0.08
1	6494.5	0.0584
1	6496	0.0806
1	6497.5	0.0628
1	6499.5	0.0584
1	6500	0.08
1	6501.5	0.0516
1	6502	0.0806
1	6503	0.08
1	6503.5	0.0516
1	6504.5	0.1144
1	6506	0.0584
1	6506.5	0.0806
1	6510.5	0.0628
