SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	nb_62_seg	proportion	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	Event_len_min	debut	fin	Genotype	SegHpM_NWT	SegHpM_DC	SegHpM_Ntel	SegHpM_Ntkd	SegHpM_SFA	exp_local_hits_seg_NWT	exp_local_hits_seg_Ntel	exp_local_hits_seg_Ntkd	exp_local_hits_seg_SFA	exp_local_hits_seg_DC	Seg_Obs_Exp_HpM_NWT	Seg_Obs_Exp_HpM_Ntel	Seg_Obs_Exp_HpM_Ntkd	Seg_Obs_Exp_HpM_SFA	Seg_Obs_Exp_HpM_DC	boundary_cross	hotspot_overlapW	hotspot_boundary_crossW	est_dist_DSBsW	hotspot_overlapF	hotspot_boundary_crossF	est_dist_DSBsF	SegType	seg_cat	len_cat	Classification	Notes
1	430	0	859	(2:6)	34	1	36160	36898	36898	37019	20	497.6275	527.2113	459.991	600.147	8.7926	5	2727	19.0265486725664	1	0	1	1	OM1	1	34_6_34_345_5	1	0	3	20	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	1792	36528.75	38788.75	OM	249.470537895995	6.199	257.565684597135	218.58148402133	76.239656366365	156.751750091676	166.070592849285	144.896321598827	189.045204620462	2.7696528786212	1.5915	1.5509	1.5085	0.4033	2.2382	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
8	331	0	662	(6:2)	78	1	51951	52164	52164	52613	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	22.1256684491979	2	0	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	1425	51402.5	52898.5	OM	13.1235477591682	0	13.1900357070145	21.0470951796567	11.0507768151516	58.3848090619017	57.0730604977664	61.0585793235482	39.9438210593491	0.515658710912572	0.2248	0.2311	0.3447	0.2767	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
10	160	12	307	(2:6)	78	3	52632	52846	52858	52939	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	10.6951871657754	2	0	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	1425	51402.5	52898.5	OM	117.783148467115	1.2206	115.365700879229	114.115072377637	77.9715482736767	27.0757347160179	26.4674162731334	28.3156855775367	18.5237961710274	0.239134779834078	4.3501	4.3588	4.0301	4.2093	5.1042	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
12	38	0	77	2:6	1	1	33070	33077	33077	33147	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	2.91411042944785	1	0	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	1185	32934.75	34238.75	OM	60.566188659935	0.806	67.2993094964596	52.8271826817613	224.879456872073	12.4294600421348	12.2081931882022	13.9882612359551	19.6182968398876	0.47031643258427	4.8728	5.5126	3.7765	11.4627	1.7137	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AN	
18	1160	779	1541	(6:2)	4	7	55914	56007	56786	57455	9	165.6825	134.0756	174.8926	136.0853	1.282	3	1945	66.5137614678899	1	0	1	1	OM6	1	3_4_5	1	0	2	32	(5:3)_(6:2)_(5:3a)_(4:4aCO)	1542	55853.25	57597.25	OM	106.842440907853	0.3582	84.3207851112393	112.068735326699	92.0684661660273	131.268242930591	106.226477943445	138.565293881748	107.818738971722	1.01571311053985	0.8139	0.7938	0.8088	0.8539	0.3527	0	1	0	0	2	0	594	6:2/2:6 Segment	single	750_1000	CC1	
22	26	11	42	6:2	34	3	30602	30613	30624	30644	13	0.6653	0.2184	1.4076	0.6886	0	4	168	17.5675675675676	1	0	0	1	OM7	1	3_3_34_4	1	1	1	3	5:3_4:4_6:2_5:3	129	30504.75	30652.75	OM	0	0	0.020405005643757	0.425990981961154	0	0.166325	0.0546	0.3519	0.17215	0	0	0.3737	1.2105	0	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AN	
25	232	90	373	(2:6)	78	2	68739	68869	68959	69112	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	13.7278106508876	2	0	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	1184	68176	69866	OM	34.3000884383964	0.3926	43.5068728667639	55.5961740751899	43.2850935117817	325.423187568306	349.326882377049	341.353277003643	187.63102568306	12.1847006375228	0.1054	0.1245	0.1629	0.2307	0.0322	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
27	344	123	565	(2:6)	78	2	69112	69280	69403	69677	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	20.3550295857988	2	0	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	1184	68176	69866	OM	84.4384964760224	3.0416	84.8712201409334	103.773863731249	73.1931151524115	492.933246584699	529.141256147541	517.063274817851	284.213215846995	18.4567181238616	0.1713	0.1604	0.2007	0.2575	0.1648	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
31	366	12	720	(6:2)	2	2	128756	129063	129075	129476	12	3710.919	3138.7466	4767.0535	2050.9284	171.8006	5	10830	5.55893074119077	1	0	1	1	OM9	2	1_2_7_58_56	2	1	0	2	(5:3)_(6:2)_(5:3a)_(3:5)_(3:5a)_(4:4aCO)	2339	124936.25	131520.25	OM	1268.97494046167	68.1768	1124.2484944573	1569.08422061441	1395.53415059023	246.709296398892	208.670134072022	316.923224376731	136.349810526316	11.4216465373961	5.1436	5.3877	4.951	10.235	5.9691	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CC1	the NCO is unrelated.
37	466	26	905	6:2	34	2	191818	192170	192196	192723	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	15.6166219839142	1	0	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	2871	191729.75	194713.75	OM	969.066920514501	32.2426	1147.99191906363	959.355296418018	281.027946696522	300.96852937379	354.828736765655	309.306710942544	87.3911877017431	9.61257230471272	3.2198	3.2353	3.1016	3.2157	3.3542	0	1	0	0	2	0	341	6:2/2:6 Segment	single	30_150	AN	
42	832	149	1514	(2:6)	2	5	82099	82230	82379	83613	9	775.244	604.4979	783.6251	584.2571	32.2774	3	2314	40.7045009784736	1	0	1	1	OM5	3	1_2_234	1	0	3	20	(3:5)_(2:6)_(5:3)_(4:4aCO)	1773	81785.75	83829.75	OM	718.549523546325	31.8742	553.930987303186	694.958527296379	544.023230384233	507.225331028522	395.509861970614	512.708902938634	382.266745635264	21.1184025929127	1.4166	1.4005	1.3555	1.4232	1.5093	0	3	0	1355.5	2	0	1301	6:2/2:6 Segment	single	30_150	AC	
47	684	78	1290	(6:2)	7	2	130776	130897	130975	132066	8	3319.3756	2792.9328	4294.8491	1711.3339	167.7656	4	2990	30.467706013363	1	0	0	1	OM7	3	4_4_8_7	2	2	0	1	(5:3)_(4:4)_(5:3a)_(6:2)_(4:4)	1500	129275.5	131520.5	OM	170.918098075964	1.674	168.794807813882	294.187031642496	92.3085482186783	1432.10519197324	1204.97769632107	1852.96165183947	738.33469264214	72.3804762541806	0.1193	0.1401	0.1588	0.125	0.0231	0	2	0	1470.5	1	0	0	6:2/2:6 Segment	single	30_150	AN	
49	32	0	63	(6:2)	8	1	190558	190588	190588	190621	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	0.976205003050641	1	0	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	3180	190493.75	193771.75	OM	25.7092624177133	2.5434	41.7379389216177	17.1173558769397	9.05479464992372	39.7645496890731	46.8880121113414	37.5948442404501	29.9398106899615	1.43571347349719	0.6465	0.8902	0.4553	0.3024	1.7715	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	IC	
54	309	156	462	(2:6)	34	2	69355	69616	69772	69817	6	485.042	451.1441	138.2654	223.6739	9.0892	3	650	66.025641025641	1	0	1	2	OM2	4	34_38_7	1	0	3	21	(2:6)_(4:4ai)_(5:3)_(4:4bCO)	286	69485.5	69953.5	OM	462.183079081024	9.0892	432.939406313991	130.529478120455	201.110533386108	344.752929230769	320.659344923077	98.274792	158.980525846154	6.46032369230769	1.3406	1.3502	1.3282	1.265	1.4069	0	1	0	0	1	0	0	6:2/2:6 Segment	single	150_300	AC	
59	28	0	57	6:2	78	1	84532	84553	84553	84589	12	154.3725	127.0459	65.846	27.3922	2.6324	4	2288	1.62224797219003	1	0	0	2	OM6	6	7_7_78_7	1	1	2	23	5:3_4:4_6:2_5:3a	1165	83116.25	84842.25	OM	1.3445327391808	0	1.57268580263133	0.54841712939493	0.527680344889331	3.84581840034965	3.16504208916084	1.64039423076923	0.682410576923077	0.0655798951048951	0.3496	0.4969	0.3343	0.7733	0	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AN	
62	165	0	330	2:6	1	1	195910	196198	196198	196240	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	4.98038031995171	6	0	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	3244	195390	198703	OM	6.0160888357959	0	5.51665331504966	7.6054243452365	1.15829586985281	16.1125280898876	16.2066688350089	21.3055786516854	4.65154612655234	0.433137196924896	0.3734	0.3404	0.357	0.249	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IN	
64	116	69	163	2:6	1	7	196861	196884	196953	197024	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3.50135828554181	6	0	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	3244	195390	198703	OM	0.186646190396621	0	0.174642842421568	0.534714202762228	0.321809984741039	7.95861235955056	8.00511218214074	10.5236646067416	2.2975818746304	0.213943524541691	0.0235	0.0218	0.0508	0.1401	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IN	
66	266	25	506	2:6	1	3	197266	197670	197695	197772	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	8.02897675822517	6	0	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	3244	195390	198703	OM	1.80394643290625	0	2.5082153015826	3.73689811623637	1.35876438381645	24.7058764044944	24.8502255470136	32.6685539325843	7.13237072738025	0.664143701951508	0.073	0.1009	0.1144	0.1905	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IN	
68	28	0	55	2:6	1	1	198113	198157	198157	198168	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	0.845155448234229	6	0	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	3244	195390	198703	OM	0.843308698410456	0	0.667963861220635	3.57006248394916	0.044915350683471	2.68542134831461	2.70111147250148	3.5509297752809	0.775257687758723	0.0721895328208161	0.314	0.2473	1.0054	0.0579	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IN	
70	31	4	58	2:6	1	2	198398	198418	198422	198456	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	0.935707817687896	6	0	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	3244	195390	198703	OM	7.35171937189777	0.5552	7.75390214462767	7.78276222056336	2.51195851005043	2.83189887640449	2.84844482554701	3.74461685393258	0.81754447072738	0.0761271437019515	2.596	2.7222	2.0784	3.0726	7.2931	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	IN	
72	242	232	251	2:6	1	23	198456	198467	198699	198707	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	7.30455780259583	6	0	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	3244	195390	198703	OM	121.517472621599	4.0222	124.676084851417	132.888782013974	29.7276599985757	12.2552865168539	12.3268905381431	16.205152247191	3.53799417504435	0.329446777054997	9.9155	10.1142	8.2004	8.4024	12.209	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	150_300	AN	
73	119	0	238	2:6	56	1	79121	79329	79329	79359	2	24.5859	18.2139	9.2092	20.8904	0	2	1451	16.059379217274	1	0	0	2	OM9	6	56_5	1	1	1	8	2:6_3:5	31	79225	79966	OM	0.500123768479691	0	0.243359699663043	0.217446441602148	0.179661402733884	4.03269758787043	2.98753149552033	1.51053728463129	3.4265439007581	0	0.124	0.0815	0.144	0.0524	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CN2	
