id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	midpoint1	midpoint2	midpoint3	commande	Notes	B_type	extend	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC
7	EA1	1500	EA	1	2	215181	215962	216250	216513	215571.5	216381.5	6:2_5:3	1	289	810	1331	2	579_231	                      89_0	1069_462	215181_216051_216250	215962_216250_216513	216051_216250_290619	216250_216513_291653	170.77	111	1.54	4	3_1	12_2	1	7	1	0	1	1	1	1	1	215976.5	215976.5	NA	NA	                      graph_bin_annot3(2,214000,217000,c(1,2))		Full Conversion	665.5	179.8843	183.9421	141.5249	44.0011	3.7198
16	EA1	1500	EA	1	2	701871	702521	704219	704922	702196.25	704570.25	5:3_6:2_5:3a	1	1699	2374	3050	3	662_292_1422	                      152_0_963	1171_583_1880	701871_702673_703042_704219	702521_703042_703256_704922	702673_703042_704219_706983	703042_703256_704922_707207	1678.53	254	6.61	10	3_1_6	6_5_6	2	19	1	0	1	1	1	1	1	703383.25	703383.25	NA	NA	                      graph_bin_annot3(2,700000,705000,c(5,6))		Two-sided	1525	1292.8597	1822.9074	1834.8679	2571.1157	40.5996
8	EA1	1500	EA	1	2	290619	291653	292546	292578	291136	292562	(4:4ai)_(6:2)_(4:4bCO)_(5:3)_(4:4b)	2_nonsis	894	1426	1958	5	787_280_143_216	                      0_0_78_145	1574_559_208_288	290619_291653_292193_292290_292546	291653_292193_292212_292401_292578	291653_292193_292290_292546_296774	292193_292212_292401_292578_297226	407.17	163	2.5	12	1_1_6_4	16_26_56_5	1	11	1	1	0	1	1	0	0	291849	291849	NA	NA	                      graph_bin_annot3(2,289000,293000,c(1,2,5,6))		Sym 4:4	979	286.4649	305.6122	398.162	104.4373	2.3568
17	EA1	1500	EA	1	2	706983	707207	711439	711554	707094.75	711496.75	(5:3)_(4:4)_(6:2)_(4:4aCO)	2_nonsis	4233	4402	4570	4	1427_308_2667	                      1087_0_2530	1767_615_2804	706983_708294_708750_711439	707207_708750_708909_711554	708294_708750_711439_744519	708750_708909_711554_744640	255.16	381	0.67	18	6_1_11	1_1_12	1	12	1	1	0	1	1	0	0	709295.75	709295.75	NA	NA	                      graph_bin_annot3(2,705000,712000,c(1,2,3,4))		One-Sided Unidirectional	2285	258.9394	248.9578	297.6637	663.4771	3.3144
20	EA1	1500	EA	1	3	209941	210192	210635	211159	210066.75	210896.75	(3:5)_(2:6)_(4:4aCO)	2_nonsis	444	830	1217	3	510_321	                      325_0	694_642	209941_210517_210635	210192_210635_211159	210517_210635_239394	210635_211159_239437	987.08	101	9.74	7	6_1	2_1	1	9	1	1	0	1	1	0	0	210481.75	210481.75	NA	NA	                      graph_bin_annot3(3,208000,212000,c(1,2,5,6))		One-Sided Unidirectional	608.5	907.9424	906.3375	1221.9101	1109.5141	62.2826
31	EA1	1500	EA	1	4	992912	992975	993715	994135	992943.25	993925.25	3:5_2:6_3:5	1	741	982	1222	3	126_34_822	                      85_0_587	166_68_1057	992912_993060_993078_993715	992975_993078_993128_994135	993060_993078_993715_1050120	993078_993128_994135_1050175	314.88	102	3.09	12	5_1_6	7_8_8	1	4	1	0	1	1	1	1	1	993434.25	993434.25	NA	NA	                      graph_bin_annot3(4,991000,995000,c(7,8))		One-Sided + patch	611	321.8164	322.3039	427.1412	537.3173	2.056
35	EA1	1500	EA	1	4	1295582	1295980	1296388	1296525	1295780.75	1296456.75	6:2_5:3	1	409	676	942	2	226_449	                      0_353	453_545	1295582_1295980_1296388	1295980_1296035_1296525	1295980_1296388_1344235	1296035_1296525_1344556	248.74	78	3.17	6	1_5	56_5	1	7	1	0	1	1	1	1	1	1296118.75	1296118.75	NA	NA	                      graph_bin_annot3(4,1294000,1297000,c(5,6))		Full Conversion	471	188.9223	242.5771	235.226	134.93	1.463
39	EA1	1500	EA	1	4	1487463	1487794	1488106	1488682	1487628.25	1488394.25	6:2_5:3	1	313	766	1218	2	372_394	                      173_72	571_715	1487463_1487967_1488106	1487794_1488034_1488682	1487967_1488106_1523226	1488034_1488682_1531933	4.44	101	0.04	4	2_2	56_5	1	7	1	0	1	1	1	1	1	1488011.25	1488011.25	NA	NA	                      graph_bin_annot3(4,1486000,1489000,c(5,6))		Full Conversion	609	5.8725	8.0781	2.7123	4.5673	0
36	EA1	1500	EA	1	4	1344235	1344556	1345632	1346089	1344395.5	1345860.5	5:3_6:2_5:3a	1	1077	1465	1853	3	802_150_514	                      523_0_253	1080_300_774	1344235_1345079_1345315_1345632	1344556_1345315_1345379_1346089	1345079_1345315_1345632_1380649	1345315_1345379_1346089_1381111	422.47	154	2.74	11	8_1_2	5_6_5	2	19	1	0	1	1	1	1	1	1345128	1345128	NA	NA	                      graph_bin_annot3(4,1343000,1347000,c(5,6))		Two-sided	926.5	289.9064	332.5012	421.1563	443.3728	7.5292
25	EA1	1500	EA	1	4	172175	172830	173380	174736	172502.25	174058.25	(2:6)_(4:4)_(4:4aCO)	2_nonsis	551	1556	2560	3	724_831	                      244_0	1205_1662	172175_173074_173380	172830_173380_174736	173074_173380_369582	173380_174736_369971	635.19	213	2.98	5	4_1	12_12	1	12	1	1	0	1	1	0	0	173280.25	173280.25	NA	NA	                      graph_bin_annot3(4,171000,175000,c(1,2,7,8))		One-Sided Unidirectional	1280	363.7446	387.2953	327.6445	225.1709	5.5856
