chr	Start	End	Length	rpm	smoothPeak	midpoint	avgWT_count	overlap_wt
1	1	374	497	124	112.008730244513	420	417	56.647468805257	1
2	1	2377	2486	110	94.4887584602309	2441	2439	86.067103955339	1
3	1	6360	6561	202	263.882808491949	6451	6455	223.642726646211	1
4	1	9159	9412	254	123.998308531016	9234	9224	166.265950040085	1
5	1	28181	28941	761	1581.38347474357	28729	28610	484.948986381229	1
6	1	29891	30204	314	257.614133231817	30047	30047	89.7529889918349	1
8	1	32903	33238	336	395.144839004668	33121	33117	204.813675668774	1
9	1	34520	34558	39	17.6093558647981	34538	34540	20.4397077416831	1
10	1	34807	35108	302	696.025381670181	34948	34954	461.338616278432	1
11	1	36423	36598	176	62.639280121229	36519	36514	130.943753623717	1
12	1	37189	37422	234	466.983356104823	37286	37281	165.291017257325	1
13	1	39025	39216	192	238.620607708672	39125	39130	344.013003728713	1
14	1	42464	42627	164	106.536681446329	42540	42532	51.281302188736	1
15	1	45054	45703	650	643.955891744801	45264	45319	287.64063157088	1
16	1	48371	48450	80	28.0361492360826	48412	48420	80.1936963896259	1
17	1	52687	52844	158	81.5448781696393	52776	52778	127.308813076691	1
18	1	56829	56900	72	27.1020224259208	56861	56858	3.83912332849694	0
19	1	57361	57516	156	72.0533945974033	57444	57452	87.5290614916387	1
20	1	57730	57874	145	86.9964781570017	57798	57797	18.5196504457666	0
21	1	58427	58706	280	137.9457337524	58632	58560	451.361120130785	1
22	1	61061	61339	279	572.22983907768	61233	61227	830.425994930129	1
23	1	62592	62689	98	34.9325088464261	62639	62636	51.8485215270836	1
24	1	67999	68859	861	436.124747818608	68300	68297	938.984211762473	1
25	1	69522	70143	622	652.97323811709	69797	69798	527.114374840048	1
26	1	70359	70863	505	162.596538412984	70491	70504	116.140102032978	1
27	1	71102	71614	513	1575.88368605268	71329	71330	931.303568366142	1
28	1	73660	73724	65	26.6003706732587	73687	73684	21.7542631631409	1
29	1	74903	75050	148	53.7151967428916	74977	74977	46.9474641635446	1
30	1	76143	76390	248	112.743792986981	76222	76244	346.688355237121	1
31	1	82025	82751	727	489.860940606111	82178	82197	840.488799704234	1
32	1	83450	83546	97	37.6981763770249	83498	83498	43.5484250820965	1
33	1	84567	84697	131	50.2858884300261	84626	84612	60.5393735374316	1
34	1	87058	87310	253	126.996719104897	87254	87188	234.26376386015	1
35	1	92309	92881	573	253.787211825928	92382	92633	895.27097314752	1
36	1	94476	94569	94	31.4342974552929	94523	94522	52.9267449919139	1
37	1	99860	100021	162	127.290446442443	99942	99938	49.5819618965399	1
38	1	101157	101312	156	116.849787151294	101232	101230	66.6474567903706	1
39	1	106048	106166	119	51.5066124529868	106104	106102	86.114755246213	1
40	1	108644	108942	299	396.596455135501	108821	108790	437.935678572304	1
41	1	109182	109618	437	158.148515547841	109274	109277	29.2085369067761	0
42	1	110441	110631	191	59.1410687300959	110590	110537	136.823526396635	1
