id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	midpoint1	midpoint2	midpoint3	commande	Notes	B_type	extend	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC
2	EA1	1500	EA	1	1	180934	180953	181957	182519	180943.75	182237.75	(5:3)_(4:4)_(5:3)_(4:4aCO)	2_nonsis	1005	1294	1584	4	469_376_450	                      381_261_133	557_490_767	180934_181334_181752_181957	180953_181491_181824_182519	181334_181752_181957_187427	181491_181824_182519_189816	233.44	132	1.77	13	9_2_2	1_1_1	1	12	1	1	0	1	1	0	0	181590.75	181590.75	NA	NA	                      graph_bin_annot3(1,179000,183000,c(1,2,7,8))		One-Sided Unidirectional	792	339.3899	282.5202	444.6592	384.4024	5.3682
1	EA1	1500	EA	1	1	137063	138499	143679	143852	137781.25	143765.25	(4:4ai)_(4:4bCO)_(3:5)_(4:4ai)_(4:4CO)	2_nonsis	5181	5984	6788	0	4600_550_504_330	                      3485_0_108_0	5716_1101_900_659	137063_141984_142779_143193_143679	138499_142779_143085_143679_143852	141984_142779_143193_143679_180934	142779_143085_143679_143852_180953	1451.5	565	2.57	12	8_1_2_1	16_25_2_5	0	3	2	0	2	2	2	2	2	140773.25	139277.25	142269.25	NA	                      graph_bin_annot3(1,136000,144000,c(1,2,5,6))	Not dCO, 2 NCOs	2-sis NCO	3394	2061.1434	2035.927	2499.9171	1443.521	93.0946
7	EA1	1500	EA	1	2	215181	215962	216250	216513	215571.5	216381.5	6:2_5:3	1	289	810	1331	2	579_231	                      89_0	1069_462	215181_216051_216250	215962_216250_216513	216051_216250_290619	216250_216513_291653	170.77	111	1.54	4	3_1	12_2	1	7	1	0	1	1	1	1	1	215976.5	215976.5	NA	NA	                      graph_bin_annot3(2,214000,217000,c(1,2))		Full Conversion	665.5	179.8843	183.9421	141.5249	44.0011	3.7198
15	EA1	1500	EA	1	2	641302	641368	642776	643134	641335	642955	5:3_5:3a	1	1409	1620	1831	2	1294_326	                      1115_0	1474_651	641302_642483_642776	641368_642776_643134	642483_642776_701871	642776_643134_702521	2789.98	152	18.3	10	9_1	6_56	2	11	1	0	1	1	1	1	1	642145	642145	NA	NA	                      graph_bin_annot3(2,640000,644000,c(5,6))		Two-sided	915.5	2406.4485	2166.9538	2375.0294	4031.4107	196.946
18	EA1	1500	EA	1	2	744519	744640	745793	746171	744579.75	745981.75	3:5_3:5a	1	1154	1402	1651	2	283_1120	                      0_708	566_1531	744519_744640_745793	744640_745085_746171	744640_745793_801218	745085_746171_813184	292.18	137	2.13	10	1_9	8_78	2	12	1	0	1	1	1	1	1	745280.75	745280.75	NA	NA	                      graph_bin_annot3(2,743000,747000,c(7,8))		Two-sided	825.5	385.9258	423.3259	345.5956	203.8422	5.3506
16	EA1	1500	EA	1	2	701871	702521	704219	704922	702196.25	704570.25	5:3_6:2_5:3a	1	1699	2374	3050	3	662_292_1422	                      152_0_963	1171_583_1880	701871_702673_703042_704219	702521_703042_703256_704922	702673_703042_704219_706983	703042_703256_704922_707207	1678.53	254	6.61	10	3_1_6	6_5_6	2	19	1	0	1	1	1	1	1	703383.25	703383.25	NA	NA	                      graph_bin_annot3(2,700000,705000,c(5,6))		Two-sided	1525	1292.8597	1822.9074	1834.8679	2571.1157	40.5996
6	EA1	1500	EA	1	2	206083	207171	208024	208543	206627.25	208283.25	3:5_5:3	2_nonsis	854	1656	2459	2	912_744	                      49_165	1776_1323	206083_207220_208024	207171_207859_208543	207220_208024_215181	207859_208543_215962	160.89	205	0.79	4	2_2	8_28	3	30	1	0	1	1	2	2	1	207455.25	207455.25	NA	NA	                      graph_bin_annot3(2,205000,209000,c(1,2,7,8))		Two Chr	1229.5	256.4463	287.0359	304.7631	44.7054	3.8222
11	EA1	1500	EA	1	2	406115	406787	406787	407477	406451	407132	(5:3)_(4:4aCO)	2_nonsis	1	681	1361	2	681	0	1362	406115_406787	406787_407477	406787_442879	407477_445482	251.21	113	2.22	1	1	8	1	1	1	1	0	1	1	0	0	406791.5	406791.5	NA	NA	                      graph_bin_annot3(2,405000,408000,c(3,4,7,8))		One-Sided Unidirectional	680.5	137.5223	133.2873	157.744	89.1605	1.2534
14	EA1	1500	EA	1	2	635127	635445	635880	636267	635285.75	636073.75	(3:5)_(4:4aCO)	2_nonsis	436	788	1139	2	788	435	1140	635127_635880	635445_636267	635880_641302	636267_641368	6.42	95	0.07	3	3	6	1	2	1	1	0	1	1	0	0	635679.75	635679.75	NA	NA	                      graph_bin_annot3(2,634000,637000,c(3,4,5,6))		One-Sided Unidirectional	569.5	10.0462	7.0484	17.463	5.9262	0
8	EA1	1500	EA	1	2	290619	291653	292546	292578	291136	292562	(4:4ai)_(6:2)_(4:4bCO)_(5:3)_(4:4b)	2_nonsis	894	1426	1958	5	787_280_143_216	                      0_0_78_145	1574_559_208_288	290619_291653_292193_292290_292546	291653_292193_292212_292401_292578	291653_292193_292290_292546_296774	292193_292212_292401_292578_297226	407.17	163	2.5	12	1_1_6_4	16_26_56_5	1	11	1	1	0	1	1	0	0	291849	291849	NA	NA	                      graph_bin_annot3(2,289000,293000,c(1,2,5,6))		Sym 4:4	979	286.4649	305.6122	398.162	104.4373	2.3568
17	EA1	1500	EA	1	2	706983	707207	711439	711554	707094.75	711496.75	(5:3)_(4:4)_(6:2)_(4:4aCO)	2_nonsis	4233	4402	4570	4	1427_308_2667	                      1087_0_2530	1767_615_2804	706983_708294_708750_711439	707207_708750_708909_711554	708294_708750_711439_744519	708750_708909_711554_744640	255.16	381	0.67	18	6_1_11	1_1_12	1	12	1	1	0	1	1	0	0	709295.75	709295.75	NA	NA	                      graph_bin_annot3(2,705000,712000,c(1,2,3,4))		One-Sided Unidirectional	2285	258.9394	248.9578	297.6637	663.4771	3.3144
13	EA1	1500	EA	1	2	496540	497133	496540	497133	496688.5	496984.5	(4:4aCO)	2_nonsis	0	296	592	1	0	0	0	496540	497133	635127	635445	255.65	49	5.19	0	0	0	1	100	1	1	0	1	1	0	0	496836.5	496836.5	NA	NA	                      graph_bin_annot3(2,495000,498000,c(3,4,5,6))		No Strand Transfer	296	252.2905	250.8948	228.3657	183.1191	1.579
4	EA1	1500	EA	1	2	126263	126921	128153	128244	126592.25	128198.25	(5:3)_(5:3a)_(4:4aCO)	2_nonsis	1233	1606	1980	3	945_662	                      0_0	1890_1323	126263_126921_128153	126921_128153_128244	126921_128153_168467	128153_128244_169483	655.92	165	3.98	2	1_1	7_68	2	30	1	1	0	1	1	0	0	127395.25	127395.25	NA	NA	                      graph_bin_annot3(2,125000,129000,c(5,6,7,8))		Two-Sided Unidirectional	990	407.5035	486.2069	402.6967	912.4944	9.6124
21	EA1	1500	EA	1	3	239394	239437	241753	242663	239415.75	242207.75	5:3_5:3a	1	2317	2792	3268	2	803_1990	                      78_831	1528_3148	239394_239515_241753	239437_240922_242663	239515_241753_246853	240922_242663_248057	363.25	272	1.33	4	2_2	2_12	2	11	1	0	1	1	1	1	1	240811.75	240811.75	NA	NA	                      graph_bin_annot3(3,238000,243000,c(1,2))		Two-sided	1634	641.0758	610.9679	720.1616	166.6473	18.728
