SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	Event_len_min	nb_62_seg	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	debut	fin
1	430	                      0	859	(2:6)	34	1	36160	36898	36898	37019	20	497.6275	527.2113	459.991	600.147	8.7926	5	2727	2260	1792	1	1	1	OM1	1	34_6_34_345_5	1	0	3	20	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	36528.75	38788.75
2	373	275	471	(3:5)	6	2	36898	37019	37294	37369	20	497.6275	527.2113	459.991	600.147	8.7926	5	2727	2260	1792	1	1	1	OM1	1	34_6_34_345_5	1	0	3	20	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	36528.75	38788.75
3	83	0	166	(5:3)	34	1	37294	37369	37369	37460	20	497.6275	527.2113	459.991	600.147	8.7926	5	2727	2260	1792	1	1	1	OM1	1	34_6_34_345_5	1	0	3	20	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	36528.75	38788.75
4	160	93	226	(4:4aCO)	345	3	37369	37460	37553	37595	20	497.6275	527.2113	459.991	600.147	8.7926	5	2727	2260	1792	1	1	1	OM1	1	34_6_34_345_5	1	0	3	20	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	36528.75	38788.75
5	1214	1094	1335	(3:5)	5	13	37553	37595	38689	38888	20	497.6275	527.2113	459.991	600.147	8.7926	5	2727	2260	1792	1	1	1	OM1	1	34_6_34_345_5	1	0	3	20	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	36528.75	38788.75
6	460	                      340	580	(5:3)	7	3	51371	51434	51774	51951	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	1496	1425	2	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	51402.5	52898.5
7	195	0	390	(4:4)	7	1	51774	51951	51951	52164	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	1496	1425	2	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	51402.5	52898.5
8	331	0	662	(6:2)	78	1	51951	52164	52164	52613	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	1496	1425	2	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	51402.5	52898.5
9	350	19	682	(4:4aCO)	56	3	52164	52613	52632	52846	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	1496	1425	2	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	51402.5	52898.5
10	160	12	307	(2:6)	78	3	52632	52846	52858	52939	11	138.2009	135.0959	144.5299	94.5498	1.2206	5	1567	1496	1425	2	1	1	OM2	1	7_7_78_56_78	1	0	3	20	(5:3)_(4:4)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	51402.5	52898.5
11	139	                      84	194	3:5	2	5	32883	32986	33070	33077	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	1304	1185	1	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	32934.75	34238.75
12	38	0	77	2:6	1	1	33070	33077	33077	33147	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	1304	1185	1	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	32934.75	34238.75
13	64	5	123	4:4	12	2	33077	33147	33152	33200	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	1304	1185	1	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	32934.75	34238.75
14	162	128	195	3:5	2	3	33152	33200	33328	33347	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	1304	1185	1	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	32934.75	34238.75
15	116	11	220	4:4	2	4	33328	33347	33358	33548	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	1304	1185	1	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	32934.75	34238.75
